学号,物理,化学,生物,政治,历史,地理
180102,,,1,1,1,
180103,,,1,1,1,
180104,,,1,1,1,
180105,,,1,1,1,
180106,,,1,1,1,
180107,,,1,1,1,
180109,,,1,1,1,
180110,,,1,1,1,
180111,,,1,1,1,
180112,,,1,1,1,
180113,,,1,1,1,
180114,,,1,1,1,
180115,,,1,1,1,
180116,,,1,1,1,
180117,,,1,1,1,
180118,,,1,1,1,
180119,,,1,1,1,
180120,,,1,1,1,
180121,,,1,1,1,
180122,,,1,1,1,
180123,,,1,1,1,
180124,,,1,1,1,
180125,,,1,1,1,
180126,,,1,1,1,
180127,,,1,1,1,
180128,,,1,1,1,
180129,,,1,1,1,
180201,1,1,1,,,
180202,1,1,,,,1
180203,1,1,,,,1
180204,1,,1,,,1
180205,,1,1,,,1
180206,,1,1,,,1
180207,1,,,,1,1
180208,,1,,1,1,
180209,1,1,,1,,
180210,1,,,,1,1
180211,,1,1,,,1
180212,1,1,,,,1
180213,,1,1,,,1
180214,1,1,,,,1
180215,1,1,1,,,
180216,1,1,,,,1
180217,1,1,,,,1
180218,1,1,,,,1
180219,1,1,,,,1
180220,1,,,,1,1
180221,1,1,,,,1
180223,1,,,1,,1
180224,1,1,,,,1
180225,,1,1,,,1
180226,1,1,,,,1
180228,1,1,,,1,
180229,,1,,1,,1
180230,1,,,,1,1
180231,1,,1,,1,
180301,,,1,,1,1
180302,,,1,,1,1
180303,,,1,,1,1
180304,,,1,,1,1
180305,,,1,,1,1
180306,,,1,,1,1
180307,,,1,,1,1
180308,,,1,,1,1
180309,,,1,,1,1
180310,,,1,,1,1
180311,,,1,,1,1
180312,,,1,,1,1
180313,,,1,,1,1
180315,,,1,,1,1
180316,,,1,,1,1
180317,,,1,,1,1
180318,,,1,,1,1
180319,,,1,,1,1
180320,,,1,,1,1
180321,,,1,,1,1
180322,,,1,,1,1
180323,,,1,,1,1
180324,,,1,,1,1
180326,,,1,,1,1
180327,,,1,,1,1
180328,,,1,,1,1
180329,,,1,,1,1
180330,,,1,,1,1
180331,,,1,,1,1
180332,,,1,,1,1
180333,,,1,,1,1
180335,,,1,,1,1
180336,,,1,,1,1
180401,,1,1,,1,
180402,,1,,,1,1
180403,,1,,,1,1
180404,,1,,,1,1
180405,,1,,,1,1
180406,,1,1,,1,
180409,,1,1,,1,
180410,,1,1,,1,
180411,,1,1,,1,
180412,,1,,,1,1
180413,,1,,,1,1
180414,,1,1,,1,
180415,,1,,,1,1
180416,,1,1,,1,
180417,,1,,,1,1
180418,,1,,,1,1
180419,,1,,,1,1
180420,,1,,,1,1
180421,,1,,,1,1
180422,,1,1,,1,
180423,,1,,,1,1
180424,,1,,,1,1
180425,,1,,,1,1
180426,,1,1,,1,
180427,,1,,,1,1
180428,,1,,,1,1
180429,,1,1,,1,
180430,,1,1,,1,
180431,,1,,,1,1
180501,1,,,1,,1
180502,,1,,1,,1
180503,1,,,1,1,
180504,1,,,1,,1
180505,,,,1,1,1
180506,,1,,1,1,
180507,,,,1,1,1
180508,1,,,1,1,
180509,,,1,1,,1
180510,1,,,,1,1
180511,1,,,1,,1
180512,1,,,1,,1
180513,1,,,1,,1
180514,1,,,1,,1
180515,,1,,1,,1
180516,1,,,1,1,
180517,1,,,1,,1
180518,1,,,1,1,
180519,1,,,1,,1
180520,1,,,1,,1
180521,,1,,1,1,
180522,,,1,1,,1
180523,,,,1,1,1
180524,1,,,1,,1
180525,1,,,1,,1
180526,1,,,1,,1
180527,1,,,1,,1
180528,1,,,1,,1
180529,1,,,1,1,
180530,1,,,1,,1
180531,,,,1,1,1
180532,,1,,1,,1
180533,,,,1,1,1
180534,1,,,1,,1
180535,1,,,1,,1
180536,,,,1,1,1
180537,,,1,1,,1
180538,,,,,,
180539,,,,,,
180540,1,,,1,,1
180541,1,,,,1,1
